"mex.t"	"mex.male"	"mex.age"	"mex.education"	"mex.y.all"	"mex.vote"	"mex.age2"	"mex.interest"	"mex.married"	"mex.pidpanw2"	"mex.pidprdw2"	"mex.pidpriw2"	"mex.votecard"	"mex.urban"	"mex.cleanelections"	"mex.metro"	"mex.centralregion"	"mex.northregion"	"mex.wealth"	"mex.epnapprove"	"mex.havepropoganda"	"mex.concurrent"	"mex.cleanelectionsmiss"	"mex.loyal"	"mex.direct"
"5"	1	0	6.9	2	3	1	47.61	1	0	1	0	0	0	1	4	0	0	1	-1.04769814014435	2	1	0	0	0	0
"8"	0	1	4.8	7	2	1	23.04	3	1	1	0	0	1	1	1	0	0	1	2.67367696762085	11	0	0	0	0	0
"9"	1	0	4.4	5	4	0	19.36	1	0	0	0	0	0	1	3	0	0	1	1.8504683971405	8	0	0	0	0	0
"13"	1	0	8.4	5	1	1	70.56	2	0	0	0	1	1	1	3	0	0	1	2.97243523597717	11	0	0	0	1	0
"14"	1	1	5.1	5	1	1	26.01	2	0	0	0	0	1	1	2	0	0	1	0.481876999139786	6	0	0	0	0	0
"17"	0	0	5.5	7	1	1	30.25	3	1	1	0	0	1	1	3	0	0	1	2.67367696762085	7	0	0	0	0	0
"18"	1	1	5.7	9	1	1	32.49	3	1	0	1	0	1	1	3	0	0	1	2.67367696762085	9	0	0	0	0	0
"19"	0	0	2.4	6	1	1	5.76	3	1	0	0	0	1	1	3	0	0	1	2.67367696762085	8	0	0	0	0	0
"20"	1	1	3.6	5	1	0	12.96	2	0	0	0	1	0	1	2	0	0	1	0.481876999139786	9	0	0	0	0	0
"21"	1	1	2	8	1	1	4	1	0	0	0	1	1	1	4	0	0	1	1.58351361751556	11	0	0	0	1	0
"22"	0	0	3.9	7	1	1	15.21	3	0	0	0	1	1	1	1	0	0	1	2.67367696762085	11	0	0	0	1	1
"23"	0	0	2	8	2	0	4	1	0	0	0	0	0	1	4	0	0	1	4.06259870529175	6	1	0	0	0	0
"24"	0	0	2.8	5	1	1	7.84	1	1	1	0	0	1	1	2	0	0	1	2.67367696762085	6	0	0	0	0	0
"25"	1	0	2.4	9	1	1	5.76	2	0	0	0	1	0	1	1	0	0	1	2.67367696762085	11	0	0	0	1	0
"26"	1	1	6.8	2	2	1	46.24	2	1	0	0	1	1	1	0	0	0	1	1.57204031944275	9	0	0	1	0	0
"27"	1	0	4.5	5	1	1	20.25	2	1	1	0	0	1	1	2	0	0	1	1.57204031944275	6	0	0	0	0	0
"28"	0	0	4.7	5	1	1	22.09	2	0	0	0	1	1	1	1	0	0	1	-0.416981279850006	10	0	0	0	1	0
"29"	1	0	2.8	9	2	0	7.84	2	1	0	0	0	0	1	0	0	0	1	1.57204031944275	6	0	0	1	0	0
"30"	0	0	3.9	7	1	1	15.21	3	1	1	0	0	1	1	2	0	0	1	1.57204031944275	10	0	0	0	0	0
"31"	1	1	4.3	2	1	1	18.49	3	0	0	0	1	1	1	3	0	0	1	-1.24018979072571	10	0	0	0	1	0
"32"	0	0	6.6	2	2	1	43.56	3	0	0	0	1	1	1	1	0	0	1	-2.19520616531372	11	0	0	0	1	0
"33"	0	1	7.1	2	2	1	50.41	1	1	1	0	0	1	1	4	0	0	1	0.481876999139786	11	0	0	0	1	0
"34"	1	0	1.9	8	2	1	3.61	2	0	0	0	1	1	1	4	0	0	1	1.57204031944275	8	0	0	0	0	0
"35"	0	0	5.9	2	2	1	34.81	3	0	1	0	0	1	1	3	0	0	1	-1.24018979072571	4	0	0	0	0	0
"38"	0	1	2.3	8	2	1	5.29	2	0	0	0	0	1	1	0	0	0	1	4.06259870529175	10	0	0	1	0	0
